url,title,price,address,area,floor,year,metro_name,metro_time,house_type,_error,lat,lon,schools_count_800m,clinics_count_800m,kindergartens_count_800m
https://www.cian.ru/sale/flat/322245725/,,,,,,,,,,,29.3644727,112.3905651,1,2,0
https://www.cian.ru/sale/flat/278642542/,"Продается 2-комн. квартира, 70 м²",41 000 000 ₽,"Москва, САО, р-н Хорошевский, проезд Березовой Рощи, 8",70 м²,23 из 23,2008.0,ЦСКА,13 мин.,Монолитный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/323643068/,"Продается 1-комн. квартира, 35 м²",26 000 000 ₽,"Москва, СВАО, р-н Марфино, ул. Академика Королева, 21",35 м²,7 из 28,2025.0,Бутырская,10 мин.,,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/321791734/,"Продается 1-комн. квартира, 41,1 м²",33 900 000 ₽,"Москва, СВАО, р-н Марфино, ул. Академика Королева, 21","41,1 м²",6 из 20,2025.0,Останкино,4 мин.,,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/322869588/,"Продается 2-комн. квартира, 67,6 м²",27 227 700 ₽,"Москва, СВАО, р-н Бутырский, Огородный проезд","67,6 м²",5 из 57,,Бутырская,2 мин.,Монолитный,,55.815016,37.600028,2,2,1
https://www.cian.ru/sale/flat/322020316/,"Продается 3-комн. квартира, 110,22 м²",44 500 000 ₽,"Москва, СВАО, р-н Бутырский, Огородный проезд, 20","110,22 м²",26 из 27,,Фонвизинская,5 мин.,Монолитно-кирпичный,,55.818283,37.593324,5,3,8
https://www.cian.ru/sale/flat/323460415/,"Продаются 2-комн. апартаменты, 78,9 м²",42 846 160 ₽,"Москва, САО, р-н Хорошевский, ул. Зорге, 9Ак7","78,9 м²",23 из 23,,Зорге,12 мин.,Монолитно-кирпичный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/318376747/,,,,,,,,,,,29.3644727,112.3905651,1,2,0
https://www.cian.ru/sale/flat/320295711/,,,,,,,,,,,29.3644727,112.3905651,1,2,0
https://www.cian.ru/sale/flat/323348500/,"Продаются 3-комн. апартаменты, 70 м²",48 000 000 ₽,"Москва, САО, р-н Хорошевский, ул. Зорге, 9Ак1",70 м²,4 из 21,,Полежаевская,14 мин.,,,55.7953865585838,37.50405299307615,8,1,16
https://www.cian.ru/sale/flat/323557588/,"Продается 3-комн. квартира, 76 м²",35 000 000 ₽,"Москва, СВАО, р-н Ярославский, ул. Красная Сосна, 3А",76 м²,7 из 8,2021.0,ВДНХ,7 мин.,Монолитный,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/322516415/,"Продается 2-комн. квартира, 62,4 м²",32 950 000 ₽,"Москва, СВАО, р-н Марфино, ул. Академика Королева, 21","62,4 м²",5 из 26,2025.0,Бутырская,10 мин.,,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/323095659/,"Продается 1-комн. квартира, 44 м²",34 500 000 ₽,"Москва, СВАО, р-н Марфино, ул. Академика Королева, 21",44 м²,12 из 22,,Бутырская,10 мин.,,,55.741469,37.615561,7,7,0
https://www.cian.ru/sale/flat/322885634/,"Продается 2-комн. квартира, 90 м²",61 000 000 ₽,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/3",90 м²,14 из 41,,Аэропорт,13 мин.,,,55.793656,37.545088,4,7,3
https://www.cian.ru/sale/flat/320813123/,"Продается 2-комн. квартира, 50,2 м²",17 900 000 ₽,"Москва, СВАО, р-н Останкинский, 2-я Останкинская ул., 4","50,2 м²",8 из 16,1981.0,ВДНХ,16 мин.,Панельный,,55.825523,37.623546,1,2,6
